age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
-0.9807517817495709,1,1,2,0,2,0,0,6,0,0.9039517769483205,-0.20922828648908795,0.20103133533451345,-0.3513559841342726,1,-1.2060543163867548,-1.1854476345842437,-1.2409390022001279,-1.3317072086627957,-0.9147793298985275,0
-0.10799146437383668,7,2,3,0,0,0,1,6,0,0.35030022448310993,0.5696341735638297,0.20103133533451345,-0.3513559841342726,1,0.649441345068569,0.7151926425714463,0.8922690699662461,0.7116984054426517,0.3328624952903114,0
-1.46561862473609,7,1,3,0,2,0,1,4,4,-0.11696597937050743,-0.5986595165155467,0.20103133533451345,-0.3513559841342726,1,0.8413891721156713,1.5282730881121709,-0.28317211265604075,0.7734274852589368,0.8365350928366287,0
-0.2049648329711405,7,1,2,0,1,1,1,4,0,-0.9415533979357146,0.18020294353737087,0.20103133533451345,-0.3513559841342726,1,0.8413891721156713,1.5282730881121709,-0.28317211265604075,0.7716967633949288,0.8365350928366287,0
0.6677954844045938,0,1,6,0,2,0,0,7,1,-0.7805625209777456,-0.5986595165155467,0.20103133533451345,-0.3513559841342726,1,-0.11834996311984088,-0.6554780023528164,-0.32670697127168163,0.3286319662088804,0.3980276831130174,0
-0.7868050445549634,7,2,6,0,0,0,0,9,2,-0.5057000481226765,0.18020294353737087,0.20103133533451345,3.3405707981337596,0,-0.7581760532768491,1.0690811592080618,0.6528273475802244,-1.5792004352159401,-2.7543382778102616,0
-0.7868050445549634,0,2,6,0,2,0,0,9,1,0.13041024619905472,0.5696341735638297,0.20103133533451345,-0.3513559841342726,1,-0.7581760532768491,1.0690811592080618,0.6528273475802244,-1.5820849716559533,-2.7543382778102616,0
0.08595527282077094,2,1,6,1,2,0,0,7,1,-0.8355350155487594,-0.20922828648908795,0.20103133533451345,-0.3513559841342726,1,-0.11834996311984088,-0.6554780023528164,-0.32670697127168163,0.3286319662088804,0.3980276831130174,0
-0.8837784131522671,7,0,5,0,0,0,0,7,3,-0.7412964534270214,-0.5986595165155467,0.20103133533451345,1.4946074069997437,0,-0.11834996311984088,-0.6554780023528164,-0.32670697127168163,0.3067094892647789,0.3980276831130174,0
-0.4958849387630519,1,1,2,1,0,0,1,6,2,-0.34078256440963506,-0.5986595165155467,0.20103133533451345,-0.3513559841342726,1,0.649441345068569,0.7151926425714463,0.8922690699662461,0.7116984054426517,0.3328624952903114,0
-1.46561862473609,7,2,1,1,2,0,0,3,2,0.1736029205048513,-0.5986595165155467,0.20103133533451345,-0.3513559841342726,1,0.8413891721156713,0.5839949485988578,-0.4790789764264232,0.7711198561069263,0.8365350928366287,0
-0.3989115701657481,6,2,0,0,0,0,0,3,2,-0.4271679130212282,-0.5986595165155467,0.20103133533451345,-0.3513559841342726,1,0.8413891721156713,0.5839949485988578,-0.4790789764264232,0.7768889289869529,0.8365350928366287,0
-0.3989115701657481,0,1,3,0,0,0,1,6,4,-0.6274248575299214,-0.20922828648908795,0.20103133533451345,-0.3513559841342726,1,0.649441345068569,0.7151926425714463,0.8922690699662461,0.7140060345946622,0.3328624952903114,0
0.6677954844045938,1,1,0,0,2,0,1,4,2,-0.17979168745166607,-0.20922828648908795,0.20103133533451345,-0.3513559841342726,1,0.8413891721156713,1.5282730881121709,-0.28317211265604075,0.7711198561069263,0.8365350928366287,0
-1.0777251503468748,0,2,3,0,0,0,0,6,0,1.1631078227830998,-0.20922828648908795,0.20103133533451345,-0.3513559841342726,1,-1.2060543163867548,-1.1854476345842437,-1.2409390022001279,-1.3317072086627957,-0.9147793298985275,0
